order_id,supplier_id,product_id,filled_qty,delivered_at,cancelled,cancellation_reason,outcome_final
ORD-000001,SUP-029,PROD-0031,60,2026-05-15T16:37:30.447Z,false,,true
ORD-000002,SUP-030,PROD-0066,6,2026-05-24T15:23:06.864Z,false,,true
ORD-000003,SUP-007,PROD-0114,60,2026-01-08T06:30:49.453Z,false,,true
ORD-000003,SUP-007,PROD-0085,10,2026-01-08T00:39:49.453Z,false,,true
ORD-000003,SUP-007,PROD-0133,150,2026-01-08T01:53:49.453Z,false,,true
ORD-000003,SUP-007,PROD-0162,10,2026-01-08T04:25:49.453Z,false,,true
ORD-000004,SUP-022,PROD-0114,100,2026-03-23T13:07:30.401Z,false,,true
ORD-000005,SUP-010,PROD-0115,20,2026-06-22T01:41:03.861Z,false,,true
ORD-000006,SUP-011,PROD-0056,43,2026-08-07T00:49:54.745Z,false,,true
ORD-000007,SUP-015,PROD-0034,50,2025-10-22T20:25:46.339Z,false,,true
ORD-000008,SUP-014,PROD-0090,50,2026-08-10T07:58:42.185Z,false,,true
ORD-000009,SUP-016,PROD-0097,30,2025-11-27T20:23:10.601Z,false,,true
ORD-000009,SUP-016,PROD-0059,20,2025-11-27T12:41:10.601Z,false,,true
ORD-000009,SUP-016,PROD-0006,30,2025-11-27T20:23:10.601Z,false,,true
ORD-000009,SUP-016,PROD-0153,150,2025-11-28T02:11:10.601Z,false,,true
ORD-000010,SUP-004,PROD-0110,150,2025-10-17T07:53:05.308Z,false,,true
ORD-000010,SUP-004,PROD-0186,50,2025-10-17T07:45:05.308Z,false,,true
ORD-000010,SUP-004,PROD-0075,100,2025-10-17T10:01:05.308Z,false,,true
ORD-000010,SUP-004,PROD-0081,10,2025-10-17T08:14:05.308Z,false,,true
ORD-000011,SUP-004,PROD-0114,40,2026-01-10T16:36:26.028Z,false,,true
ORD-000012,SUP-016,PROD-0075,50,2026-08-06T00:17:56.348Z,false,,true
ORD-000012,SUP-016,PROD-0074,100,2026-08-06T08:51:56.348Z,false,,true
ORD-000012,SUP-016,PROD-0031,200,2026-08-06T03:52:56.348Z,false,,true
ORD-000012,SUP-016,PROD-0136,40,2026-08-06T07:59:56.348Z,false,,true
ORD-000013,SUP-028,PROD-0135,75,2026-02-13T22:18:27.558Z,false,,true
ORD-000014,SUP-015,PROD-0178,30,2026-04-23T04:18:57.868Z,false,,true
ORD-000015,SUP-022,PROD-0141,60,2026-06-04T23:54:23.544Z,false,,true
ORD-000016,SUP-003,PROD-0131,10,2026-08-07T09:22:31.234Z,false,,true
ORD-000017,SUP-028,PROD-0057,10,2026-04-16T00:30:26.797Z,false,,true
ORD-000018,SUP-026,PROD-0103,60,2025-10-30T17:39:26.969Z,false,,true
ORD-000019,SUP-016,PROD-0046,150,2026-08-09T14:57:35.916Z,false,,true
ORD-000020,SUP-026,PROD-0091,40,2026-01-10T07:00:24.501Z,false,,true
ORD-000020,SUP-026,PROD-0010,150,2026-01-10T06:08:24.501Z,false,,true
ORD-000020,SUP-026,PROD-0168,50,2026-01-10T09:01:24.501Z,false,,true
ORD-000020,SUP-026,PROD-0185,100,2026-01-10T09:18:24.501Z,false,,true
ORD-000021,SUP-015,PROD-0038,75,2026-01-09T02:22:36.589Z,false,,true
ORD-000022,SUP-005,PROD-0045,40,2026-02-21T05:35:20.624Z,false,,true
ORD-000023,SUP-013,PROD-0190,50,2026-08-12T15:04:24.677Z,false,,true
ORD-000024,SUP-015,PROD-0093,25,2026-04-25T23:08:08.141Z,false,,true
ORD-000025,SUP-003,PROD-0079,150,2026-01-12T05:51:43.278Z,false,,true
ORD-000025,SUP-003,PROD-0050,20,2026-01-12T06:34:43.278Z,false,,true
ORD-000025,SUP-003,PROD-0031,100,2026-01-12T05:53:43.278Z,false,,true
ORD-000025,SUP-003,PROD-0110,50,2026-01-12T06:32:43.278Z,false,,true
ORD-000026,SUP-021,PROD-0070,150,2026-06-12T07:57:41.981Z,false,,true
ORD-000026,SUP-021,PROD-0148,10,2026-06-12T01:20:41.981Z,false,,true
ORD-000026,SUP-021,PROD-0110,200,2026-06-12T06:34:41.981Z,false,,true
ORD-000026,SUP-021,PROD-0010,75,2026-06-12T03:17:41.981Z,false,,true
ORD-000027,SUP-016,PROD-0121,50,2025-11-06T08:57:13.361Z,false,,true
ORD-000028,SUP-015,PROD-0077,60,2026-08-08T10:58:13.467Z,false,,true
ORD-000029,SUP-001,PROD-0024,30,2026-02-08T20:51:46.223Z,false,,true
ORD-000029,SUP-001,PROD-0081,50,2026-02-08T21:46:46.223Z,false,,true
ORD-000030,SUP-014,PROD-0115,100,2025-10-11T06:15:13.952Z,false,,true
ORD-000031,SUP-011,PROD-0156,200,2026-08-05T04:42:01.586Z,false,,true
ORD-000032,SUP-012,PROD-0147,20,2026-08-14T07:04:50.096Z,false,,true
ORD-000033,SUP-008,PROD-0020,20,2026-07-16T02:08:10.596Z,false,,true
ORD-000034,SUP-012,PROD-0005,100,2026-08-03T19:14:02.880Z,false,,true
ORD-000035,SUP-015,PROD-0196,150,2026-01-19T12:24:13.532Z,false,,true
ORD-000035,SUP-015,PROD-0098,30,2026-01-19T10:42:13.532Z,false,,true
ORD-000035,SUP-015,PROD-0100,200,2026-01-19T10:35:13.532Z,false,,true
ORD-000036,SUP-016,PROD-0090,40,2025-12-11T23:10:20.626Z,false,,true
ORD-000037,SUP-012,PROD-0050,50,2026-01-22T10:12:23.590Z,false,,true
ORD-000037,SUP-012,PROD-0013,75,2026-01-22T07:32:23.590Z,false,,true
ORD-000037,SUP-012,PROD-0060,40,2026-01-22T18:38:23.590Z,false,,true
ORD-000038,SUP-004,PROD-0103,60,2026-04-04T22:20:22.714Z,false,,true
ORD-000039,SUP-010,PROD-0024,25,2025-10-04T03:57:11.347Z,false,,true
ORD-000039,SUP-010,PROD-0200,50,2025-10-04T03:45:11.347Z,false,,true
ORD-000039,SUP-010,PROD-0083,100,2025-10-04T04:36:11.347Z,false,,true
ORD-000040,SUP-002,PROD-0082,10,2026-08-01T10:14:57.380Z,false,,true
ORD-000041,SUP-026,PROD-0029,75,2026-07-01T13:20:54.100Z,false,,true
ORD-000042,SUP-028,PROD-0171,100,2026-04-20T20:27:59.967Z,false,,true
ORD-000042,SUP-028,PROD-0079,40,2026-04-21T03:50:59.967Z,false,,true
ORD-000043,SUP-012,PROD-0077,40,2026-07-22T03:34:08.558Z,false,,true
ORD-000044,SUP-026,PROD-0158,20,2026-07-31T12:25:58.716Z,false,,true
ORD-000045,SUP-016,PROD-0052,25,2026-08-03T00:22:32.308Z,false,,true
ORD-000046,SUP-008,PROD-0117,10,2026-06-29T12:52:24.394Z,false,,true
ORD-000047,SUP-016,PROD-0059,200,2026-04-21T16:20:08.369Z,false,,true
ORD-000048,SUP-005,PROD-0101,100,2026-08-10T11:13:21.914Z,false,,true
ORD-000049,SUP-015,PROD-0043,40,2026-05-14T18:13:14.266Z,false,,true
ORD-000049,SUP-015,PROD-0061,10,2026-05-14T17:26:14.266Z,false,,true
ORD-000049,SUP-015,PROD-0123,200,2026-05-14T21:31:14.266Z,false,,true
ORD-000050,SUP-007,PROD-0003,10,2026-04-02T19:00:38.645Z,false,,true
ORD-000051,SUP-024,PROD-0039,40,2026-04-08T19:16:20.220Z,false,,true
ORD-000052,SUP-018,PROD-0090,60,2026-01-09T20:35:19.241Z,false,,true
ORD-000052,SUP-018,PROD-0008,40,2026-01-10T15:09:19.241Z,false,,true
ORD-000052,SUP-018,PROD-0063,60,2026-01-09T18:53:19.241Z,false,,true
ORD-000052,SUP-018,PROD-0105,100,2026-01-09T23:42:19.241Z,false,,true
ORD-000053,SUP-002,PROD-0120,20,2026-02-12T16:51:25.947Z,false,,true
ORD-000054,SUP-016,PROD-0174,200,2026-04-01T07:10:51.009Z,false,,true
ORD-000055,SUP-005,PROD-0023,50,2026-08-03T02:39:43.911Z,false,,true
ORD-000055,SUP-005,PROD-0044,30,2026-08-03T00:05:43.911Z,false,,true
ORD-000055,SUP-005,PROD-0077,75,2026-08-03T00:22:43.911Z,false,,true
ORD-000055,SUP-005,PROD-0101,30,2026-08-03T04:28:43.911Z,false,,true
ORD-000056,SUP-015,PROD-0075,75,2026-04-20T03:45:32.362Z,false,,true
ORD-000057,SUP-021,PROD-0043,60,2025-12-16T19:32:38.978Z,false,,true
ORD-000058,SUP-005,PROD-0039,30,2026-01-07T01:38:24.752Z,false,,true
ORD-000059,SUP-026,PROD-0073,200,2025-11-09T14:30:14.881Z,false,,true
ORD-000060,SUP-026,PROD-0151,15,2026-08-05T23:14:42.154Z,false,,true
ORD-000060,SUP-026,PROD-0041,30,2026-08-05T18:30:42.154Z,false,,true
ORD-000061,SUP-028,PROD-0106,50,2026-04-01T20:55:06.158Z,false,,true
ORD-000062,SUP-004,PROD-0190,10,2026-07-19T02:33:40.613Z,false,,true
ORD-000063,SUP-015,PROD-0050,75,2026-06-15T10:30:55.999Z,false,,true
ORD-000064,SUP-014,PROD-0129,40,2026-08-11T00:49:13.383Z,false,,true
ORD-000065,SUP-026,PROD-0064,150,2025-12-18T23:18:18.002Z,false,,true
ORD-000066,SUP-028,PROD-0156,20,2026-04-22T03:50:43.755Z,false,,true
ORD-000067,SUP-009,PROD-0014,40,2025-10-15T07:46:18.951Z,false,,true
ORD-000068,SUP-009,PROD-0159,50,2026-04-25T22:43:10.171Z,false,,true
ORD-000068,SUP-009,PROD-0011,6,2026-04-26T01:59:10.171Z,false,,true
ORD-000068,SUP-009,PROD-0167,25,2026-04-25T22:50:10.171Z,false,,true
ORD-000068,SUP-009,PROD-0169,75,2026-04-25T09:09:10.171Z,false,,true
ORD-000069,SUP-016,PROD-0129,30,2026-08-06T01:06:52.104Z,false,,true
ORD-000070,SUP-015,PROD-0047,75,2026-02-27T08:29:51.901Z,false,,true
ORD-000071,SUP-022,PROD-0032,40,2026-08-08T17:20:55.399Z,false,,true
ORD-000071,SUP-022,PROD-0040,60,2026-08-08T13:01:55.399Z,false,,true
ORD-000072,SUP-016,PROD-0167,50,2026-08-04T14:47:50.674Z,false,,true
ORD-000072,SUP-016,PROD-0107,150,2026-08-04T23:02:50.674Z,false,,true
ORD-000073,SUP-005,PROD-0051,25,2026-01-16T18:56:44.856Z,false,,true
ORD-000074,SUP-028,PROD-0133,60,2026-08-05T23:57:50.244Z,false,,true
ORD-000075,SUP-007,PROD-0022,60,2025-10-26T14:34:39.867Z,false,,true
ORD-000075,SUP-007,PROD-0078,25,2025-10-26T20:08:39.867Z,false,,true
ORD-000076,SUP-025,PROD-0167,30,2026-06-21T05:16:18.956Z,false,,true
ORD-000077,SUP-015,PROD-0017,50,2026-03-21T17:35:50.273Z,false,,true
ORD-000078,SUP-007,PROD-0121,25,2025-10-26T04:13:05.108Z,false,,true
ORD-000079,SUP-010,PROD-0155,30,2026-02-11T11:23:16.460Z,false,,true
ORD-000079,SUP-010,PROD-0162,40,2026-02-11T10:04:16.460Z,false,,true
ORD-000079,SUP-010,PROD-0175,25,2026-02-11T10:08:16.460Z,false,,true
ORD-000080,SUP-014,PROD-0089,60,2026-07-15T19:17:10.335Z,false,,true
ORD-000080,SUP-014,PROD-0058,40,2026-07-14T22:56:10.335Z,false,,true
ORD-000080,SUP-014,PROD-0054,200,2026-07-14T17:48:10.335Z,false,,true
ORD-000081,SUP-016,PROD-0049,25,2025-12-16T05:13:44.154Z,false,,true
ORD-000082,SUP-013,PROD-0196,40,2026-03-15T07:27:04.231Z,false,,true
ORD-000083,SUP-019,PROD-0037,40,2026-07-16T10:40:03.980Z,false,,true
ORD-000084,SUP-015,PROD-0136,200,2026-08-07T23:57:02.143Z,false,,true
ORD-000084,SUP-015,PROD-0185,200,2026-08-08T22:01:02.143Z,false,,true
ORD-000084,SUP-015,PROD-0023,60,2026-08-08T04:01:02.143Z,false,,true
ORD-000085,SUP-027,PROD-0023,40,2026-08-06T03:02:56.426Z,false,,true
ORD-000086,SUP-016,PROD-0120,60,2026-05-26T08:05:39.195Z,false,,true
ORD-000087,SUP-016,PROD-0162,200,2026-07-16T20:03:02.359Z,false,,true
ORD-000088,SUP-026,PROD-0184,60,2026-06-11T21:14:33.899Z,false,,true
ORD-000089,SUP-013,PROD-0115,30,2025-10-20T16:35:42.180Z,false,,true
ORD-000090,SUP-016,PROD-0093,200,2026-08-04T12:31:50.875Z,false,,true
ORD-000091,SUP-015,PROD-0094,10,2026-05-02T21:32:41.753Z,false,,true
ORD-000092,SUP-022,PROD-0140,200,2025-10-21T17:23:28.934Z,false,,true
ORD-000093,SUP-008,PROD-0077,10,2025-11-17T10:24:16.001Z,false,,true
ORD-000094,SUP-014,PROD-0090,20,2026-08-09T06:50:42.190Z,false,,true
ORD-000095,SUP-001,PROD-0076,50,2025-12-19T15:08:03.887Z,false,,true
ORD-000095,SUP-001,PROD-0185,20,2025-12-19T17:26:03.887Z,false,,true
ORD-000095,SUP-001,PROD-0144,10,2025-12-19T14:10:03.887Z,false,,true
ORD-000096,SUP-023,PROD-0063,200,2026-01-23T05:26:51.100Z,false,,true
ORD-000097,SUP-004,PROD-0007,75,2026-08-08T23:48:43.249Z,false,,true
ORD-000098,SUP-015,PROD-0136,40,2026-04-16T20:25:06.833Z,false,,true
ORD-000099,SUP-016,PROD-0068,50,2026-05-08T17:22:54.482Z,false,,true
ORD-000100,SUP-008,PROD-0171,150,2025-11-05T18:03:31.122Z,false,,true
ORD-000101,SUP-002,PROD-0035,10,2026-04-08T11:21:16.697Z,false,,true
ORD-000102,SUP-023,PROD-0017,150,2025-11-29T10:08:03.180Z,false,,true
